Row Labels,EZ 1,EZ 2,post plasma_dried,pre plasma
dGDP_pos_1,777.8,0,0,783.7
dGTP_neg_3,1361,11640,3409,0
dGTP_pos_1,11680,33520,0,1560
DIHYDROFOLATE_pos_2,9385,13770,4285,3375
DIHYDROXYACETONE PHOSPHATE_neg_2,200200,277900,9290,1621000
DIHYDROXYACETONE PHOSPHATE_pos_1,30210,80600,78430,36060
DIMETHYLGLYCINE_pos_1,46210000,47090000,11520000,35100000
DOPAC,323900,541100,37130,194800
DOPAMINE_pos_4,16850,35710,7089,13200
dTDP_-HPO3_neg_4,23740,7752,2648,0
dTDP_neg_2,126700,94700,48290,33620
dTTP_neg_1,10490000,9096000,5862000,4751000
dTTP_pos_1,966,113100,450.3,57210
Epi,283700,458400,204500,105100
ETHANOLAMINE_pos_3,44050,195600,70220,105900
FAD_neg_1,9945,9026,44810,115000
FAD_pos_1,8890,9323,4293,8888
FARNESYL PYROPHOSPHATE_neg_2,20550,19430,20730,21130
FLAVIN MONONUCLEOTIDE _neg_1,34440,51640,54460,115000
FLAVIN MONONUCLEOTIDE _pos_1,7824,6094,1622,0
FLAVONE_pos_3,1726,3915,1015,0
FOLATE_pos_1,13840,1893,0,753.6
"FRUCTOSE 1,6-BISPHOSPHATE_neg_2",54660,55320,94190,40840
FRUCTOSE 6-PHOSPHATE_neg_2,0,64750,21990,438700
FUMARIC ACID_neg_1,6637,0,11490,19920
GABA,43460,55420,72150,54430
GAMMA-AMINOBUTYRATE_pos_1,5430,6963,2660,12240
GERANYL-PP_-HPO3_neg_2,871400,712600,496900,153900
GERANYL-PP_neg_1,45480,0,8706,112500
GLUCONATE_neg_2,237500,321400,42540,1338000
GLUCONOLACTONE_neg_4,19000,5159,464.2,54880
GLUCOSAMINE 6-PHOSPHATE_neg_2,5376,0,7946,15320
GLUCOSAMINE 6-PHOSPHATE_pos_4,108700,225400,47740,0
GLUCOSAMINE_pos_6,135500,98750,0,44090
GLUCOSE 1-PHOSPHATE_neg_1,78840,93230,95680,87700
GLUCOSE 1-PHOSPHATE_pos_2,110300,98080,9065,70950
GLUCOSE 6-PHOSPHATE_neg_1,383300,48630,121800,420200
GLUCURONATE_neg_3,64030,52200,5766,35860
GLUTAMATE_pos_1,6885000,5316000,3023000,9462000
GLUTAMINE_pos_1,29220000,22910000,9427000,36670000
GLUTATHIONE REDUCED_neg_1,68380,34640,290600,22460000
GLUTATHIONE REDUCED_pos_1,37580,76060,1823000,11750000
GLYCERALDEHYDE 3-PHOSPHATE_neg_1,1210,0,2033,764.7
GLYCERATE_neg_1,103300,189500,21220,113900
GLYCEROL 3-PHOSPHATE_neg_1,5533,94250,15530,540600
GLYCEROPHOSPHOCHOLINE_pos_1,2368000,4634000,1668000,3186000
GLYCINE_pos_2,2719000,3116000,3867000,10110000
GLYCOLATE_neg_2,0,3860,6014,4865
GLYOXYLIC ACID_neg_1,17280,52700,37440,54590
GTP_pos_pos_2,4725,10400,0,3129
GUANINE_pos_3,4449000,5979000,6339000,4643000
GUANOSINE DIPHOSPHATE_neg_1,8478,2830,7931,21050
GUANOSINE DIPHOSPHATE_pos_1,84810,126700,11570,74840
GUANOSINE MONOPHOSPHATE_neg_1,29980,21120,66920,101100
GUANOSINE MONOPHOSPHATE_pos_1,36310,0,13520,89840
GUANOSINE_pos_1,4239000,5139000,1519,0
HIPPURIC ACID_neg_2,0,0,50620,0
HIPPURIC ACID_pos_2,0,2152000,509100,109600
HISTIDINE_pos_1,32890000,28480000,0,73310000
HISTIDINOL_pos_2,9515,0,9780,3219
HOMOCYSTEIC ACID_neg_1,565700,1116000,15750,454400
HOMOCYSTEIC ACID_pos_1,429800,550600,301700,282200
HOMOCYSTEINE_pos_2,102500,274400,177900,155700
HOMOSERINE_neg_2,961.1,7727,10960,0
HOMOSERINE_pos_1,1496000,1082000,1797000,2682000
HVA,795000,211400,965700,1463000
HYDROXYISOCAPROIC ACID_neg_2,0,0,0,52540
HYPOXANTHINE_pos_1,234900000,275500000,7549000,20710000
IDP_neg_4,787.4,559,2351,11910
IDP_pos_2,25590,41510,8609,10470
IMIDAZOLE_pos_1,226300,229300,217100,194000
INDOLE_neg_2,0,0,0,755.9
INDOLE_pos_1,0,0,446100,0
INDOLE-3-CARBOXYLIC ACID_neg_1,518600,544000,922000,493400
INDOLE-3-CARBOXYLIC ACID_pos_3,0,0,26590,105700
INDOLEACRYLIC ACID_neg_2,39130,59170,996600,752000
INDOLEACRYLIC ACID_pos_1,0,0,0,0
INOSINE MONOPHOSPHATE_pos_1,5026,6048,148400,876300
INOSINE_pos_1,26200000,22210000,0,559600
ISOBUTYRYLGLYCINE_neg_2,4909,6946,450.6,3002
ISOCITRATE_neg_4,70630,213600,27180,0
ISOLEUCINE_pos_1,783400000,728500000,368600000,479700000
ISOVALERIC ACID_neg_1,301200,2888000,6058000,3437000
KYNURENINE_pos_2,0,0,4030,18060
L-2-HYDROXYGLUTARIC ACID_neg_1,245000,259600,147100,321500
L-ACETYLCARNITINE_pos_1,34520000,74830000,0,28060000
L-CARNITINE_pos_1,127500000,63540000,117900000,120200000
L-DIHYDROOROTIC ACID_neg_1,13520,18900,31540,38130
L-DIHYDROOROTIC ACID_pos_1,5971,4753,4026,0
L-ORNITHINE_neg_4,9253,8432,617.1,21340
L-ORNITHINE_pos_1,2566000,3348000,1020000,3365000
LACTATE_neg_1,24150000,42930000,13420000,15730000
LEUCINE_pos_1,830100000,775400000,333900000,452600000
LIPOAMIDE_pos_1,0,16370,10200,3034
LYSINE_pos_4,707700,349900,1510000,275500
MALEIC ACID_neg_2,9587,3292,26100,5089
MALIC ACID_neg_5,773000,1211000,51550,747500
MALONYL-COA_neg_2,925.4,0,0,493.9
MALONYL-COA_pos_1,0,1786,0,0
melatonin,1308000,2346000,121500,105400
MELATONIN_neg_2,1375,450.8,912.4,902
MELATONIN_pos_1,662700,709300,0,222800
MESACONIC ACID_neg_1,52650,75990,52760,468200
MESACONIC ACID_pos_1,54860,129900,87690,64350
METANEPHRINE_pos_1,109200,0,47510,60100
METHIONINE SULFOXIDE_pos_1,25900,52520,93890,21160
METHIONINE_pos_1,575900,1955000,1294000,1458000
METHYL PHENYLACETATE_neg_3,528600,407500,522700,514000
METHYLCYSTEINE_pos_2,3837000,4196000,1620000,1340000
METHYLMALONATE_neg_1,93680,174800,262500,139500
METHYLSUCCINIC ACID_neg_2,49890,173900,118400,171600
METHYLTHIOADENOSINE_pos_1,62190,27930,25040,24630
MEVALONIC ACID_neg_2,473100,842700,255600,247800
MEVALONOLACTONE_pos_2,169000,148900,121100,63920
MYOINOSITOL_neg_3,564200,664600,186900,780600
N-ACETYL-GLUCOSAMINE 1-PHOSPHATE_neg_2,42470,54860,11270,46530
N-ACETYLALANINE_neg_1,202000,351400,234500,246000
N-ACETYLALANINE_pos_2,688000000,618500000,278500000,389700000
N-ACETYLGLUCOSAMINE_pos_1,12370,17340,113400,85750
N-ACETYLGLUTAMATE_neg_1,464700,362500,2031000,1734000
N-ACETYLGLUTAMATE_pos_2,450200,692400,749300,1407000
N-ACETYLGLUTAMINE_neg_1,533400,270600,102900,275800
N-ACETYLGLUTAMINE_pos_2,6860000,6421000,3480000,6419000
N-ACETYLGLUTAMINE_pos_3,64280,66160,56120,109300
N-ACETYLORNITHINE_neg_3,540500,555000,13310,23940
N-ACETYLORNITHINE_pos_2,26860000,18260000,3854000,11920000
N-ACETYLPUTRESCINE_pos_1,69120,39760,8030,30720
N-ALPHA-ACETYLLYSINE_pos_2,45030000,48070000,45980000,20540000
N-GLYCYL-L-PROLINE_neg_3,9379,16130,2263,13360
N-GLYCYL-L-PROLINE_pos_1,24000,32710,58470,197300
NAD_pos_2,3976,3485,100000,158200
NADH_pos_1,4546,2101,34740,2947
NADP_neg_1,3928,1626,0,1878
NADP_pos_1,3443,876.5,1257,488.6
NADPH_neg_1,0,0,0,0
NADPH_pos_1,0,6308,2100,0
NE,7901000,6390000,3723000,10580000
NICOTINAMIDE MONONUCLEOTIDE_pos_1,200200,255200,784100,527300
NICOTINAMIDE_pos_1,21800000,17420000,3480000,4466000
NORMETANEPHRINE_pos_1,31550,40380,49930,36270
O-ACETYLSERINE_neg_2,110800,93540,237100,713200
O-ACETYLSERINE_pos_3,4045000,3856000,2664000,2792000
OROTATE_neg_1,197600,245400,185900,213900
OXALACETIC ACID_neg_1,519800,486600,221600,67890
OXIDIZED GLUTATHIONE_neg_1,616800,617100,12360000,5904000
OXIDIZED GLUTATHIONE_pos_5,105900,85630,628500,263600
OXOGLUTARATE_neg_2,20650,5910,22490,6031
PALMITIC ACID_neg_1,58010000,61220000,54450000,41930000
PALMITIC ACID_pos_1,28170000,112700000,158200000,29760000
PANTOTHENATE_neg_1,2061,1649,0,1161
PANTOTHENATE_pos_1,4210,3034,758.7,2203
PHENYLACETYL-L-GLUTAMINE_neg_2,73780,613200,64300,61750
PHENYLACETYL-L-GLUTAMINE_pos_5,0,0,95600,80140
PHENYLALANINE_pos_1,318500000,315500000,0,161800000
PHENYLLACTIC ACID_neg_3,0,0,31040,33720
PHENYLPROPIOLIC ACID_neg_1,247900,897900,721300,809500
PHENYLPYRUVATE_neg_2,4916,22660,7532,1308
PHOSPHOENOLPYRUVATE_neg_1,10330,19800,86210,294100
